System bleu chrf macrof microf macrobleu microbleu chrf1 chrf3
nc.en-de.75K.bpe32K.fconv 26.4 0.53 25.7 52.6 23.3 48.5 0.538 0.522
nc.en-de.75K.bpe16K.fconv 26.0 0.52 25.5 52.2 23.1 48.2 0.535 0.521
nc.en-de.50K.bpe32K.fconv 23.3 0.49 21.3 49.1 19.9 46.4 0.506 0.489
nc.en-de.50K.bpe16K.fconv 24.2 0.51 22.7 50.2 20.9 47.0 0.518 0.502
nc.en-de.25K.bpe32K.fconv 18.0 0.43 13.6 42.4 14.0 42.5 0.442 0.421
nc.en-de.25K.bpe16K.fconv 19.5 0.46 15.7 44.3 15.2 43.0 0.465 0.452
nc.en-de.200K.bpe32K.fconv 31.3 0.57 32.8 57.5 29.0 51.8 0.581 0.568
nc.en-de.200K.bpe16K.fconv 30.5 0.56 31.3 56.7 27.6 51.2 0.573 0.561
nc.en-de.175K.bpe32K.fconv 30.3 0.56 31.2 56.4 27.7 51.1 0.572 0.558
nc.en-de.175K.bpe16K.fconv 30.0 0.56 30.9 56.2 27.3 50.9 0.569 0.558
nc.en-de.150K.bpe32K.fconv 29.3 0.55 30.1 55.6 26.8 50.6 0.565 0.551
nc.en-de.150K.bpe16K.fconv 28.8 0.55 29.0 55.1 25.9 50.2 0.560 0.547
nc.en-de.125K.bpe32K.fconv 29.1 0.55 29.6 55.4 26.4 50.4 0.563 0.548
nc.en-de.125K.bpe16K.fconv 28.1 0.54 27.9 54.2 25.0 49.6 0.551 0.540
nc.en-de.100K.bpe32K.fconv 27.8 0.54 27.8 54.0 25.1 49.5 0.551 0.535
nc.en-de.100K.bpe16K.fconv 28.2 0.54 27.8 54.3 24.9 49.5 0.552 0.540
nc.en-cs.75K.bpe32K.fconv 25.8 0.53 25.1 52.4 22.7 47.7 0.541 0.532
nc.en-cs.75K.bpe16K.fconv 25.2 0.53 23.9 51.5 21.6 47.1 0.534 0.526
nc.en-cs.50K.bpe32K.fconv 23.0 0.50 21.2 49.3 19.7 45.8 0.514 0.502
nc.en-cs.50K.bpe16K.fconv 23.3 0.51 21.7 49.8 20.0 46.1 0.518 0.508
nc.en-cs.25K.bpe32K.fconv 17.1 0.43 12.7 41.7 13.4 41.7 0.441 0.426
nc.en-cs.25K.bpe16K.fconv 18.2 0.45 14.6 43.5 14.6 42.6 0.462 0.449
nc.en-cs.200K.bpe32K.fconv 30.8 0.58 31.2 57.2 27.3 51.0 0.583 0.575
nc.en-cs.200K.bpe16K.fconv 30.0 0.57 29.8 56.2 26.2 50.4 0.575 0.568
nc.en-cs.175K.bpe32K.fconv 30.5 0.57 30.8 56.9 27.2 50.8 0.580 0.573
nc.en-cs.175K.bpe16K.fconv 30.3 0.57 30.2 56.7 26.6 50.8 0.579 0.570
nc.en-cs.150K.bpe32K.fconv 29.5 0.57 29.8 56.1 26.3 50.4 0.574 0.564
nc.en-cs.150K.bpe16K.fconv 28.7 0.56 28.5 55.2 25.1 49.7 0.566 0.558
nc.en-cs.125K.bpe32K.fconv 28.8 0.56 28.8 55.4 25.5 49.8 0.567 0.557
nc.en-cs.125K.bpe16K.fconv 28.1 0.55 27.7 54.4 24.6 49.2 0.561 0.552
nc.en-cs.100K.bpe32K.fconv 27.8 0.55 27.5 54.6 24.5 49.1 0.560 0.551
nc.en-cs.100K.bpe16K.fconv 26.7 0.54 25.8 53.0 23.2 48.2 0.549 0.540
